owner,repo,tag,asset_download_url,os,arch,mime,has_exec_binary
kubernetes,kubernetes,v1.30.2,https://dl.k8s.io/release/v1.30.2/bin/darwin/amd64/kubectl,darwin,amd64,,TRUE
kubernetes,kubernetes,v1.30.2,https://dl.k8s.io/release/v1.30.2/bin/darwin/arm64/kubectl,darwin,arm64,,TRUE
kubernetes,kubernetes,v1.30.2,https://dl.k8s.io/release/v1.30.2/bin/linux/amd64/kubectl,linux,amd64,,TRUE
kubernetes,kubernetes,v1.30.2,https://dl.k8s.io/release/v1.30.2/bin/linux/arm64/kubectl,linux,arm64,,TRUE
kubernetes,kubernetes,v1.30.2,https://dl.k8s.io/release/v1.30.2/bin/windows/amd64/kubectl.exe,windows,amd64,,TRUE
helm,helm,v3.15.2,https://get.helm.sh/helm-v3.15.2-darwin-amd64.tar.gz,darwin,amd64,application/gzip,TRUE
helm,helm,v3.15.2,https://get.helm.sh/helm-v3.15.2-darwin-arm64.tar.gz,darwin,arm64,application/gzip,TRUE
helm,helm,v3.15.2,https://get.helm.sh/helm-v3.15.2-linux-386.tar.gz,linux,386,application/gzip,TRUE
helm,helm,v3.15.2,https://get.helm.sh/helm-v3.15.2-linux-amd64.tar.gz,linux,amd64,application/gzip,TRUE
helm,helm,v3.15.2,https://get.helm.sh/helm-v3.15.2-linux-arm.tar.gz,linux,arm,application/gzip,TRUE
helm,helm,v3.15.2,https://get.helm.sh/helm-v3.15.2-linux-arm64.tar.gz,linux,arm64,application/gzip,TRUE
helm,helm,v3.15.2,https://get.helm.sh/helm-v3.15.2-linux-ppc64le.tar.gz,linux,ppc64le,application/gzip,TRUE
helm,helm,v3.15.2,https://get.helm.sh/helm-v3.15.2-linux-riscv64.tar.gz,linux,riscv64,application/gzip,TRUE
helm,helm,v3.15.2,https://get.helm.sh/helm-v3.15.2-linux-s390x.tar.gz,linux,s390x,application/gzip,TRUE
helm,helm,v3.15.2,https://get.helm.sh/helm-v3.15.2-windows-amd64.zip,windows,amd64,,TRUE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec_1.28.10_checksums.txt,,,,FALSE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec_1.28.10_darwin_amd64.tar.gz,darwin,amd64,application/gzip,TRUE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec_1.28.10_darwin_arm64.tar.gz,darwin,arm64,application/gzip,TRUE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec_1.28.10_linux_amd64.tar.gz,linux,amd64,application/gzip,TRUE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec_1.28.10_linux_arm64.tar.gz,linux,arm64,application/gzip,TRUE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec_1.28.10_windows_amd64.tar.gz,windows,amd64,application/gzip,TRUE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec_1.28.10_windows_arm64.tar.gz,windows,arm64,application/gzip,TRUE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec_checksums.txt,,,,FALSE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec-checkgen-darwin-amd64,,,,FALSE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec-checkgen-darwin-amd64.D66B222A3EA4C25D5D1A097FC34ACEFB46EC39CE.sig,,,,FALSE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec-checkgen-darwin-arm64,,,,FALSE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec-checkgen-darwin-arm64.D66B222A3EA4C25D5D1A097FC34ACEFB46EC39CE.sig,,,,FALSE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec-checkgen-linux-amd64,,,,FALSE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec-checkgen-linux-amd64.D66B222A3EA4C25D5D1A097FC34ACEFB46EC39CE.sig,,,,FALSE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec-checkgen-linux-arm64,,,,FALSE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec-checkgen-linux-arm64.D66B222A3EA4C25D5D1A097FC34ACEFB46EC39CE.sig,,,,FALSE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec-checkgen-windows-amd64.exe,,,,FALSE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec-checkgen-windows-amd64.exe.D66B222A3EA4C25D5D1A097FC34ACEFB46EC39CE.sig,,,,FALSE
aquasecurity,tfsec,v1.28.10,https://github.com/aquasecurity/tfsec/releases/download/v1.28.10/tfsec-checkgen-windows-arm64.exe,,,,FALSE
